question|answer
vous faites cela 18 fois, car il y a 18 trous.|à quoi ça sert? 
à quoi ça sert?|comment ça peut être amusant
comment ça peut être amusant ?|ils paient de l'argent pour jouer à ce jeu idiot !
ils paient de l'argent pour jouer à ce jeu idiot ! je pense que les golfeurs ont un problème mental.|
je pense que les golfeurs ont un problème mental.|je pense qu'ils sont fous 
tu veux aller à la pêche ?|Oui. c'est une bonne idée.
Oui.|c'est une bonne idée Où veux-tu aller? 
Où veux-tu aller?|nous pouvons aller à la rivière.
nous pouvons aller à la rivière.|ou nous pouvons aller au lac 
ou nous pouvons aller au lac.|ou nous pouvons aller à l'océan 
ou nous pouvons aller à l'océan.|allons au lac 
allons au lac.|Oui le lac est à seulement 10 miles 
Oui.|le lac est à seulement 10 miles nous pouvons y être dans 20 minutes 
nous pouvons y être dans 20 minutes.|je vais chercher nos cannes à pêche 
je vais chercher nos cannes à pêche.|je vais attraper l'appât 
je vais attraper l'appât.|nous aurons du poisson frais pour le dîner ! 
le baseball est amusant.|j'aime frapper la balle 
j'aime frapper la balle.|j'aime courir autour des bases 
j'aime courir autour des bases.|j'aime me glisser dans les bases 
j'aime me glisser dans les bases.|Ouais c'est très amusant de glisser 
Ouais.|c'est très amusant de glisser je veux être un joueur de baseball quand je serai grand 
je veux être un joueur de baseball quand je serai grand.|moi aussi je veux jouer pour les Yankees 
moi aussi.|je veux jouer pour les Yankees pas moi je veux jouer pour les Dodgers 
pas moi.|je veux jouer pour les Dodgers nous devons nous entraîner tous les jours 
nous devons nous entraîner tous les jours.|je n'aime pas la pratique 
Est-ce qu'ils vous aident à courir plus vite ?|non, mais mes pieds ne me font plus mal.
non, mais mes pieds ne me font plus mal.|alors ils valent chaque centime 
alors ils valent chaque centime.|vous voudrez peut-être en acheter une paire 
vous voudrez peut-être en acheter une paire.|j'attendrai de porter cette paire 
Tiger est le plus grand golfeur du monde.|Tu peux le répéter 
Tu peux le répéter.|mais je m'inquiète pour le tigre 
mais je m'inquiète pour le tigre.|pourquoi donc? 
pourquoi donc?|parce qu'il aime faire de la plongée sous-marine.
parce qu'il aime faire de la plongée sous-marine.|Qu'est-ce qui ne va pas avec ça? 
Qu'est-ce qui ne va pas avec ça?|ça peut être dangereux.
ça peut être dangereux.|tu veux dire qu'il pourrait se noyer 
tu veux dire qu'il pourrait se noyer.|il ne devrait pas faire de plongée sous-marine avant sa retraite 
il ne devrait pas faire de plongée sous-marine avant sa retraite.|mais il plonge pour se détendre 
mais il plonge pour se détendre.|il pourrait se détendre, mais cela me rend nerveux 
il pourrait se détendre, mais cela me rend nerveux.|si cela ne dérange pas sa femme, cela ne devrait pas vous déranger 
as-tu regardé ce tournoi de golf ?|celui que Tiger a gagné
celui que Tiger a gagné ?|comment a-t-il fait
comment a-t-il fait?|ce n'était rien pour lui.
ce n'était rien pour lui.|il a réussi un putt de 20 pieds sur le dernier trou pour gagner d'un seul coup ! 
il a réussi un putt de 20 pieds sur le dernier trou pour gagner d'un seul coup ! il a coulé un 25 pieds l'année dernière lors du même tournoi pour gagner d'un seul coup.|
il a coulé un 25 pieds l'année dernière lors du même tournoi pour gagner d'un seul coup.|je pense qu'il vient de l'espace 
je pense qu'il vient de l'espace.|aucun humain ne pourrait jouer au golf aussi bien 
aucun humain ne pourrait jouer au golf aussi bien.|Chaque fois qu'il a besoin d'un tir pour gagner un tournoi, il réussit ce tir 
Chaque fois qu'il a besoin d'un tir pour gagner un tournoi, il réussit ce tir.|aucun humain ne peut faire ça 
aucun humain ne peut faire ça.|quelqu'un devrait vérifier son acte de naissance 
quelqu'un devrait vérifier son acte de naissance.|je parie qu'il est dit qu'il est né sur mars 
qui est le plus grand joueur de baseball ?|il y a tellement de grands joueurs.
la plupart des gens diraient cela.|il a changé la donne 
il a changé la donne.|oui, il a rendu le home run populaire 
oui, il a rendu le home run populaire.|tout le monde l’aimait, partout dans le pays 
tout le monde l’aimait, partout dans le pays.|il a contribué à faire des Yankees la meilleure équipe de tous les temps 
il a contribué à faire des Yankees la meilleure équipe de tous les temps.|et Ruth était aussi une bonne personne 
et Ruth était aussi une bonne personne.|il visitait toujours les hôpitaux pour remonter le moral des enfants malades 
il visitait toujours les hôpitaux pour remonter le moral des enfants malades.|il n'y aura jamais d'autre bébé 
As-tu entendu ce qui s'est passé lors du match de baseball ?|non, s'il te plaît, dis-le-moi.
non, s'il te plaît, dis-le-moi.|quelqu'un a frappé quelqu'un 
quelqu'un a frappé quelqu'un.|c'est pas gentil 
c'est pas gentil.|c'est pire que ça 
c'est pire que ça.|comment ça? 
comment ça?|deux gars se sont disputés.
deux gars se sont disputés.|je parie qu'ils buvaient 
je parie qu'ils buvaient.|un troisième gars a frappé l'un des deux gars 
un troisième gars a frappé l'un des deux gars.|je parie qu'il buvait aussi 
je parie qu'il buvait aussi.|la victime s'est cogné la tête contre les marches en béton et est décédée 
la victime s'est cogné la tête contre les marches en béton et est décédée.|c'est terrible Les gens ne peuvent-ils pas simplement s'amuser lors d'un match de baseball ? 
je veux aller au match de football.|y a-t-il un match ce soir ? 
y a-t-il un match ce soir ?|oui, ça commence à 19h
oui, ça commence à 19h, pouvons-nous avoir des billets ?.|
pouvons-nous avoir des billets ?|oui, mais seulement les billets bon marché.
oui, mais seulement les billets bon marché.|combien sont-ils? 
combien sont-ils?|ils ne coûtent que 5 $ chacun.
ils ne coûtent que 5 $ chacun.|c'est un bon prix 
c'est un bon prix.|oui, c'est moins cher qu'un hot-dog ou une bière 
oui, c'est moins cher qu'un hot-dog ou une bière.|où sont les sièges ? 
où sont les sièges ?|ils sont derrière le champ extérieur.
ils sont derrière le champ extérieur.|peut-être que nous pouvons attraper un home run 
le golf est si difficile.|qu'y a-t-il de si difficile à frapper une petite balle blanche ? 
qu'y a-t-il de si difficile à frapper une petite balle blanche ?|c'est difficile si on veut bien faire les choses.
c'est difficile si on veut bien faire les choses.|tu veux dire comme un tigre ? 
tu veux dire comme un tigre ?|non, comme un bon golfeur amateur.
non, comme un bon golfeur amateur.|qu'est-ce qu'il y a de si difficile dans le golf ? 
qu'est-ce qu'il y a de si difficile dans le golf ?|il y a tellement de choses que vous devez faire correctement.
il y a tellement de choses que vous devez faire correctement.|comme quoi? 
comme quoi?|comme garder votre bras gauche tendu, garder la tête baissée et poursuivre.
comme garder votre bras gauche tendu, garder la tête baissée et poursuivre.|ouais! qui peut se souvenir de tout cela ? 
ouais! qui peut se souvenir de tout cela ?|il faut suivre beaucoup de leçons quand on est très jeune.
il faut suivre beaucoup de leçons quand on est très jeune.|oublie ça le golf ressemble plus à du travail qu’à du plaisir 
il avait des cigarettes, mais pas de batterie.|
as-tu entendu parler du joueur de baseball ?|le frappeur de home run drogué
le frappeur de home run drogué ?|il a dit qu'un médecin l'avait aidé à résoudre un problème personnel.
il a dit qu'un médecin l'avait aidé à résoudre un problème personnel.|il a dit qu'il ne consommait pas de drogue 
il a dit qu'il ne consommait pas de drogue.|il s'est excusé auprès des fans 
il s'est excusé auprès des fans.|la ligue l'a suspendu pour 50 matchs 
la ligue l'a suspendu pour 50 matchs.|cela lui coûtera de l'argent 
cela lui coûtera de l'argent.|oui, environ 7 millions de dollars 
oui, environ 7 millions de dollars.|cela lui donnera une bonne leçon 
cela lui donnera une bonne leçon.|il ne consommera probablement plus de drogue 
il ne consommera probablement plus de drogue.|mais cela n'empêchera pas les autres joueurs de consommer de la drogue 
mais cela n'empêchera pas les autres joueurs de consommer de la drogue.|Non tout le monde pense toujours qu'il ne se fera pas prendre 
pourquoi y a-t-il tant de criminalité ?|parce que les parents n'enseignent pas le bien du mal à leurs enfants.
parce que les parents n'enseignent pas le bien du mal à leurs enfants.|est-ce que c'est ça? 
est-ce que c'est ça?|aussi, il n'y a pas assez de policiers.
aussi, il n'y a pas assez de policiers.|mais il y a beaucoup de policiers 
mais il y a beaucoup de policiers.|il n'y a qu'un policier pour 100 criminels 
il n'y a qu'un policier pour 100 criminels.|ne pouvons-nous pas embaucher plus de policiers ? 
ne pouvons-nous pas embaucher plus de policiers ?|Non. cela coûte trop d'argent.
Non.|cela coûte trop d'argent le crime ne coûte-t-il pas plus cher que la police ? 
le crime ne coûte-t-il pas plus cher que la police ?|Oui.
Oui.|donc ce serait moins cher d'embaucher plus de policiers ? 
donc ce serait moins cher d'embaucher plus de policiers ?|oui, ce serait le cas.
c'est un super quartier.|oui c'est le cas 
oui c'est le cas.|les gens sont sympathiques 
les gens sont sympathiques.|Oui, ils sont 
Oui, ils sont.|les rues et les trottoirs sont propres 
les rues et les trottoirs sont propres.|Oui, ils sont 
Oui, ils sont.|il y a un très joli parc à proximité 
il y a un très joli parc à proximité.|Oui il y a 
Oui il y a.|je me sens en sécurité ici 
je me sens en sécurité ici.|il n'y a pas de crime ici 
il n'y a pas de crime ici.|j'aimerais pouvoir déménager ici 
j'aimerais pouvoir déménager ici.|peut-être que vous le pourrez, si quelqu'un déménage 
la maison a brûlé.|ce qui s'est passé? 
ce qui s'est passé?|l'homme s'est endormi.
l'homme s'est endormi.|est-ce qu'il fumait ? 
est-ce qu'il fumait ?|oui, il fumait une cigarette.
oui, il fumait une cigarette.|Est-il mort? 
Est-il mort?|Oui il l'a fait. son chat est mort aussi.
une bonne batterie lui aurait sauvé la vie.|il avait des cigarettes, mais pas de batterie 
on dit qu'il a déclenché quinze grands incendies.|il a déjà été en prison trois fois 
il a déjà été en prison trois fois.|pourquoi l'ont-ils laissé sortir ? 
pourquoi l'ont-ils laissé sortir ?|c'est la loi. ils ne peuvent pas le garder en prison pour toujours.
c'est la loi. ils ne peuvent pas le garder en prison pour toujours. pourquoi pas?|tout le monde sait que c'est un Firebug. il adore allumer des incendies.
pourquoi pas?|tout le monde sait que c'est un Firebug. il adore allumer des incendies. je ne sais pas. parfois, la loi n'a pas de sens.
je ne sais pas.|parfois, la loi n'a pas de sens mais son dernier incendie a tué quelqu'un 
mais son dernier incendie a tué quelqu'un.|cette fois, ils l'ont accusé de meurtre 
cette fois, ils l'ont accusé de meurtre.|alors peut-être qu'il ira en prison pour toujours ? 
alors peut-être qu'il ira en prison pour toujours ?|je l'espère bien.
je l'espère bien.|quelqu'un devrait y mettre le feu 
quelqu'un devrait y mettre le feu.|cela lui donnerait une bonne leçon 
Mettez votre ceinture.|pourquoi ? 
pourquoi ?|car cela vous protégera en cas d'accident.
car cela vous protégera en cas d'accident.|mais c'est inconfortable 
mais c'est inconfortable.|c'est la loi 
c'est la loi.|c'est tellement de problèmes 
c'est tellement de problèmes.|c'est du bon sens 
c'est du bon sens.|c'est tellement serré que j'ai du mal à respirer 
c'est tellement serré que j'ai du mal à respirer.|retenez votre souffle jusqu'à ce que nous y arrivions 
retenez votre souffle jusqu'à ce que nous y arrivions.|ok, ma ceinture de sécurité est bouclée 
ok, ma ceinture de sécurité est bouclée.|je suis content que tu ne te plaignes pas beaucoup 
je suis content que tu ne te plaignes pas beaucoup.|je suis prêt pour un accident 
que fais-tu ?|je vais changer l'ampoule. ça a brûlé.
je vais changer l'ampoule.|ça a brûlé sur quoi te tiens-tu ? 
sur quoi te tiens-tu ?|quelques dictionnaires et quelques manuels.
quelques dictionnaires et quelques manuels.|Êtes-vous fou? 
Êtes-vous fou?|quel est le problème
quel est le problème?|ces livres glisseront et tu tomberas.
ces livres glisseront et tu tomberas.|ce n'est que quelques pieds 
ce n'est que quelques pieds.|Que se passe-t-il si vous tombez en tenant l'ampoule et qu'elle se brise et que des morceaux vous rentrent dans les yeux ? 
Que se passe-t-il si vous tombez en tenant l'ampoule et qu'elle se brise et que des morceaux vous rentrent dans les yeux ?|je n'y ai jamais pensé.
je n'y ai jamais pensé.|tu serais aveugle pour le reste de ta vie ! 
tu serais aveugle pour le reste de ta vie ! je vais chercher l'escabeau.|
as-tu vu cette flaque d'eau sur le sol ?|Oui. j'ai appelé pour un nettoyage.
Oui.|j'ai appelé pour un nettoyage une flaque d'eau est très dangereuse 
une flaque d'eau est très dangereuse.|ce n'est pas facile à voir 
mais c'est vraiment facile à enfiler.|surtout sur ces sols glissants 
surtout sur ces sols glissants.|quelqu'un qui glisse pourrait se blesser au dos 
quelqu'un qui glisse pourrait se blesser au dos.|ils pourraient même se casser la tête 
ils pourraient même se casser la tête.|nous devrions rester ici jusqu'à ce que le nettoyeur arrive 
nous devrions rester ici jusqu'à ce que le nettoyeur arrive.|nous pouvons partir si nous mettons un cornet orange ici 
nous pouvons partir si nous mettons un cornet orange ici.|oui, mais je ne sais pas où sont les cônes orange 
oui, mais je ne sais pas où sont les cônes orange.|cela n'a pas d'importance le voilà qui vient maintenant avec la serpillère 
que se passe-t-il lorsque l'alarme incendie retentit ?|nous disons à nos élèves de quitter la classe.
nous disons à nos élèves de quitter la classe.|peuvent-ils prendre leurs affaires ? 
peuvent-ils prendre leurs affaires ?|oui, s'ils le font rapidement.
oui, s'ils le font rapidement.|où vont les étudiants ? 
où vont les étudiants ?|ils sortent vers le parking nord.
ils sortent vers le parking nord.|que font les professeurs ? 
que font les professeurs ?|nous apportons nos listes au parking et prenons le rôle.
